3 0.723365 0.928794 0.551872 0.140153 0.587734 22
1 0.860635 0.416823 0.272625 0.240764 0.909431 1
3 0.70557 0.911231 0.588063 0.171503 0.532829 22
1 0.861827 0.408629 0.273078 0.241266 0.924579 1
3 0.703048 0.922044 0.593904 0.151166 0.477546 22
1 0.861866 0.414763 0.272997 0.24277 0.895942 1
1 0.865484 0.399426 0.267864 0.234743 0.883827 1
1 0.864573 0.40685 0.267631 0.234128 0.915688 1
1 0.862675 0.409898 0.269343 0.233873 0.927042 1
3 0.722699 0.931098 0.553558 0.13481 0.611328 22
1 0.861772 0.415716 0.271273 0.232308 0.888744 1
3 0.704313 0.912301 0.590344 0.169257 0.685587 22
1 0.861306 0.404307 0.270743 0.216758 0.912795 1
3 0.714377 0.92299 0.569524 0.149299 0.590339 22
1 0.861236 0.405066 0.272009 0.22749 0.796123 1
3 0.701753 0.915402 0.595244 0.163751 0.616063 22
1 0.866015 0.388984 0.267814 0.204656 0.894146 1
3 0.701388 0.91743 0.597223 0.158097 0.313746 22
1 0.865461 0.394139 0.267711 0.194511 0.912624 1
3 0.690663 0.91334 0.618575 0.16774 0.415193 22
1 0.874216 0.347974 0.251568 0.191337 0.623833 1
3 0.716129 0.901512 0.567743 0.171553 0.507006 22
1 0.872683 0.352668 0.254634 0.178988 0.744139 1
3 0.69902 0.896055 0.60196 0.193475 0.509866 22
1 0.878818 0.326912 0.242364 0.185131 0.793095 1
3 0.722442 0.902101 0.555116 0.180195 0.254745 22
1 0.879202 0.329021 0.241509 0.181375 0.807544 1
3 0.715681 0.892058 0.566432 0.203716 0.798399 22
1 0.86204 0.333371 0.275263 0.206305 0.503619 1
3 0.723653 0.902588 0.548253 0.191096 0.336252 22
1 0.87769 0.31879 0.243949 0.20004 0.910397 1
1 0.873553 0.325701 0.248419 0.188262 0.865465 1
1 0.880695 0.321089 0.232877 0.192956 0.933282 1
1 0.87926 0.324638 0.237102 0.187505 0.717221 1
1 0.879178 0.322287 0.23473 0.193612 0.930438 1
1 0.878831 0.328441 0.238253 0.186481 0.866396 1
1 0.877348 0.31776 0.2393 0.187486 0.917394 1
1 0.877614 0.321715 0.242228 0.184783 0.801021 1
1 0.877658 0.317328 0.240245 0.190861 0.933095 1
1 0.877852 0.321754 0.242774 0.189992 0.795308 1
1 0.879106 0.314809 0.24042 0.194043 0.894022 1
1 0.878335 0.319203 0.243083 0.187176 0.833946 1
1 0.876307 0.304933 0.247387 0.196055 0.946142 1
3 0.72522 0.893525 0.54956 0.203712 0.250115
1 0.873593 0.297338 0.251338 0.205188 0.883915 1
1 0.871698 0.301336 0.252885 0.194812 0.798242 1
1 0.870701 0.297805 0.25367 0.197829 0.915083 1
1 0.871593 0.301107 0.252739 0.19561 0.437582 1
1 0.874853 0.29083 0.250294 0.200515 0.870492 1
1 0.871892 0.294754 0.251594 0.191127 0.321801 1
1 0.872795 0.289008 0.24902 0.194495 0.918135 1
1 0.872337 0.294934 0.252817 0.186994 0.567335 1
1 0.874207 0.288808 0.249244 0.196225 0.882151 1
1 0.873252 0.29412 0.252823 0.190649 0.38579 1
1 0.868358 0.291215 0.25954 0.198911 0.927771 1
1 0.868358 0.295629 0.26242 0.190378 0.854694 1
1 0.875687 0.290612 0.248625 0.19877 0.899095 1
1 0.874543 0.294673 0.250454 0.191615 0.609151 1
